,appId,title,score,rating,review,comment
0,best_courses.tether_wallet_guide,error,error,error,error,error
1,best_courses.ripple_guide,error,error,error,error,error
2,com.btc.lumi.bestofwallet,error,error,error,error,error
3,com.lightning.wallet,error,error,error,error,error
4,biz.vipay.cryptowallet,error,error,error,error,error
5,best.cryptowalletroqqu,error,error,error,error,error
6,org.freewallet.lite.android,error,error,error,error,error
7,org.icewave.burstcoinwallet,error,error,error,error,error
8,com.ifwallet,error,error,error,error,error
9,com.bixin.bixin_android,error,error,error,error,error
10,com.legendwd.hyperpayW,error,error,error,error,error
