,app_id,lib_name
0,app.goodcrypto,Squareup
1,app.goodcrypto,Twitter
2,app.goodcrypto,Phonegap
3,app.goodcrypto,Facebook
4,app.goodcrypto,Google Ads
5,app.hodlify,Fasterxml
6,com.bcoiner.webviewapp,Google Ads
7,com.bcoiner.webviewapp,Google Analytics
8,com.bokucoin.app,Github
9,com.bokucoin.app,Push
10,com.bokucoin.app,Bumptech
11,com.btcontract.wallettest,Github
12,com.caramba.StellarWallet,Push
13,com.caramba.StellarWallet,Phonegap
14,com.caramba.StellarWallet,Google Ads
15,com.dmaxwallet,Facebook
16,com.dmaxwallet,Adobe
17,com.dsdaq.mobiletrader,Github
18,com.dsdaq.mobiletrader,Squareup
19,com.dsdaq.mobiletrader,Bumptech
20,com.dsdaq.mobiletrader,Google Ads
21,com.farhadmarket.app,Github
22,com.farhadmarket.app,Bumptech
23,com.farhadmarket.app,Google Ads
24,com.flutter.litebit,Jakewharton
25,com.flutter.litebit,Squareup
26,com.flutter.litebit,Push
27,com.flutter.litebit,Google Ads
28,com.friendst.strangr,Unity3d
29,com.friendst.strangr,StartApp
30,com.friendst.strangr,Unity Ads
31,com.friendst.strangr,Facebook
32,com.friendst.strangr,Google Ads
33,com.g3shanappz.claimerbox,Fasterxml
34,com.g3shanappz.claimerbox,Phonegap
35,com.g3shanappz.claimerbox,Adobe
36,com.g3shanappz.claimerbox,Google Ads
37,com.idbtec.otppaycrypto,Github
38,com.idbtec.otppaycrypto,Crashlytics
39,com.idbtec.otppaycrypto,Google Ads
40,com.mycontainer,Github
41,com.mycontainer,Facebook
42,com.mycontainer,Google Ads
43,com.net_cents.netcents2,Facebook
44,com.net_cents.netcents2,Bumptech
45,com.payperless.wallet,Squareup
46,com.payperless.wallet,Appsflyer
47,com.payperless.wallet,Bumptech
48,com.qsoft.mybtc,Google Ads
49,com.sencoinex.android,Github
50,com.sencoinex.android,Crashlytics
51,com.sencoinex.android,Squareup
52,com.sencoinex.android,Google Ads
53,com.studentcoin,Facebook
54,com.studentcoin,Adobe
55,com.studentcoin,Bumptech
56,com.studentcoin,Google Ads
57,com.whitebit.android,Squareup
58,com.whitebit.android,Bumptech
59,com.wrx.wazirx,Github
60,com.wrx.wazirx,Facebook
61,com.wrx.wazirx,Mixpanel
62,com.wrx.wazirx,Appsflyer
63,com.wrx.wazirx,Push
64,com.wrx.wazirx,Bumptech
65,com.wrx.wazirx,Google Ads
66,com.wswap.wallet,Fasterxml
67,com.wswap.wallet,Github
68,com.wswap.wallet,Bumptech
69,com.wswap.wallet,Google Ads
70,com.wswap.wallet,Kenai
71,com.wswap.wallet,Squareup
72,com.wswap.wallet,Mixpanel
73,de.schildbach.wallet,Squareup
74,io.rscoins.network,Facebook
75,io.rscoins.network,Bumptech
76,io.rscoins.network,Google Ads
77,io.rscoins.network,Google Analytics
78,net.iconomi.android,Kochava
79,network.xyo.coin,Fasterxml
80,network.xyo.coin,Github
81,network.xyo.coin,Google Ads
82,network.xyo.coin,Chartboost
83,network.xyo.coin,Facebook
84,network.xyo.coin,Appsflyer
85,network.xyo.coin,Applovin
86,network.xyo.coin,Bumptech
87,network.xyo.coin,AppLovin
88,network.xyo.coin,Inmobi
89,network.xyo.coin,Unity3d
90,network.xyo.coin,Squareup
91,network.xyo.coin,Tapjoy
92,network.xyo.coin,Vungle
93,network.xyo.coin,Unity Ads
94,network.xyo.coin,TapJoy
95,org.coinid.vault,Facebook
96,org.coinid.vault,Adobe
97,org.cryptosignals.bitcoin.free.wallet,Squareup
98,org.cryptosignals.bitcoin.free.wallet,Flurry
99,org.cryptosignals.bitcoin.free.wallet,Bumptech
100,org.cryptosignals.bitcoin.free.wallet1,Squareup
101,org.cryptosignals.bitcoin.free.wallet1,Flurry
102,org.cryptosignals.bitcoin.free.wallet1,Bumptech
103,org.cryptosignals.free.bitcoin.cash.wallet,Squareup
104,org.cryptosignals.free.bitcoin.cash.wallet,Flurry
105,org.cryptosignals.free.bitcoin.cash.wallet,Bumptech
106,org.strayacoin.bitcoinpos,Squareup
107,org.strayacoin.bitcoinpos,Google Ads
108,org.strayacoin.litecoinpos,Squareup
109,org.strayacoin.litecoinpos,Google Ads
110,de.langerhans.wallet,Squareup
111,com.cryptowallet.si,Crashlytics
112,com.cryptowallet.si,Squareup
113,com.cryptowallet.si,Bumptech
114,com.lightning.walletapp,Github
115,com.ankerpay.wallet,Fasterxml
116,com.ankerpay.wallet,Github
117,com.ankerpay.wallet,Squareup
118,com.luneswallet,Facebook
119,com.caramba.RippleWallet,Push
120,com.caramba.RippleWallet,Phonegap
121,com.caramba.RippleWallet,Google Ads
122,app.codecellar.embitwallet,Squareup
123,app.codecellar.embitwallet,Github
124,com.bitzhash.wallet.bitcoin,Eclipse
125,com.coinorbis.wallet,Facebook
126,com.krypto,Facebook
127,com.lumicollect.android,Kenai
128,com.lumicollect.android,Squareup
129,com.lumicollect.android,Fasterxml
130,com.lumicollect.android,Crashlytics
131,com.lumicollect.android,Appsflyer
132,com.lumicollect.android,Bumptech
133,com.lumicollect.android,Google Ads
134,com.blocktrail.mywallet,Crashlytics
135,com.blocktrail.mywallet,Facebook
136,com.blocktrail.mywallet,Appsflyer
137,com.blocktrail.mywallet,Phonegap
138,com.blocktrail.mywallet,Google Ads
139,com.blocktrail.mywallet,Google Analytics
140,com.lumiwallet.android,Fasterxml
141,com.lumiwallet.android,Github
142,com.lumiwallet.android,Facebook
143,com.lumiwallet.android,Bumptech
144,com.airwalletofficial.air_wallet,Github
145,com.airwalletofficial.air_wallet,Google Ads
146,co.busha.android,Crashlytics
147,co.busha.android,Google Ads
148,global.bithumb.android,Umeng
149,global.bithumb.android,Tencent
150,global.bithumb.android,Github
151,global.bithumb.android,Squareup
152,global.bithumb.android,Bumptech
153,com.loafwallet,Squareup
154,com.loafwallet,Fasterxml
155,com.loafwallet,Github
156,com.loafwallet,Google Ads
157,app.bankowallet.android,Fasterxml
158,app.bankowallet.android,Github
159,app.bankowallet.android,Crashlytics
160,app.bankowallet.android,Facebook
161,app.bankowallet.android,Kenai
162,app.bankowallet.android,Tencent
163,app.bankowallet.android,Google Ads
164,com.pint.app,Github
165,com.pint.app,Crashlytics
166,com.pint.app,Facebook
167,com.pint.app,Adobe
168,com.pint.app,Bumptech
169,com.pint.app,Google Ads
170,com.bitzapp,Google Ads
171,com.signkeys.wallet.portfolio,Crashlytics
172,com.signkeys.wallet.portfolio,Google Ads
173,org.bitcoinox.bitcoinoxwallet,Google Ads
174,org.guapcoin.multiwallet,Google Ads
175,com.coinfalcon.mobile,Crashlytics
176,com.coinfalcon.mobile,Facebook
177,com.coinfalcon.mobile,Adobe
178,com.coinfalcon.mobile,Google Ads
179,co.bacoor.keyring,Github
180,co.bacoor.keyring,Facebook
181,co.bacoor.keyring,Adobe
182,co.bacoor.keyring,Bumptech
183,com.XcelTrip.XcelPay,Fasterxml
184,com.XcelTrip.XcelPay,Crashlytics
185,com.XcelTrip.XcelPay,Facebook
186,com.XcelTrip.XcelPay,Adobe
187,com.XcelTrip.XcelPay,Google Ads
188,com.XcelTrip.XcelPay,Squareup
189,org.coinid.wallet.tbtc,Github
190,org.coinid.wallet.tbtc,Facebook
191,org.coinid.wallet.tbtc,Adobe
192,org.coinid.wallet.tgrs,Github
193,org.coinid.wallet.tgrs,Facebook
194,org.coinid.wallet.tgrs,Adobe
195,org.coinid.wallet.btc,Github
196,org.coinid.wallet.btc,Facebook
197,org.coinid.wallet.btc,Adobe
198,org.coinid.wallet.grs,Github
199,org.coinid.wallet.grs,Facebook
200,org.coinid.wallet.grs,Adobe
201,org.coinid.wallet.xmy,Github
202,org.coinid.wallet.xmy,Facebook
203,org.coinid.wallet.xmy,Adobe
204,it.inbitcoin.altana,Fasterxml
205,it.inbitcoin.altana,Jakewharton
206,com.xcoex.mobile,adjust
207,com.xcoex.mobile,Google Ads
208,com.xcoex.mobile,Google Analytics
209,com.xcoex.mobile,Squareup
210,com.xcoex.mobile,Phonegap
211,com.coinomi.wallet,Squareup
212,com.coinomi.wallet,Fasterxml
213,com.coinomi.wallet,Google Ads
214,capital.spatium.wallet,Github
215,capital.spatium.wallet,Phonegap
216,capital.spatium.wallet,Google Ads
217,io.hexawallet.hexa,Fasterxml
218,io.hexawallet.hexa,Facebook
219,io.hexawallet.hexa,Adobe
220,io.hexawallet.hexa,Bumptech
221,io.hexawallet.hexa,Google Ads
222,com.incognito.wallet,Jcraft
223,com.incognito.wallet,Push
224,com.incognito.wallet,Fasterxml
225,com.incognito.wallet,Crashlytics
226,com.incognito.wallet,Facebook
227,com.incognito.wallet,Adobe
228,com.incognito.wallet,Google Ads
229,com.medishares.android,Fasterxml
230,com.medishares.android,Github
231,com.medishares.android,Facebook
232,com.medishares.android,Bumptech
233,com.medishares.android,Google Ads
234,com.medishares.android,Kenai
235,com.medishares.android,Squareup
236,com.medishares.android,Tencent
237,com.trusteewallet,Github
238,com.trusteewallet,Crashlytics
239,com.trusteewallet,Facebook
240,com.trusteewallet,Adobe
241,com.trusteewallet,Google Ads
242,co.bacoor.android.hbwallet,Github
243,co.bacoor.android.hbwallet,Facebook
244,co.bacoor.android.hbwallet,Adobe
245,co.bacoor.android.hbwallet,Bumptech
246,co.bacoor.android.hbwallet,Google Ads
247,com.bitpie,Fasterxml
248,com.bitpie,Squareup
249,com.iMe.android,Fasterxml
250,com.iMe.android,Github
251,com.iMe.android,COREMEDIA
252,com.iMe.android,Bumptech
253,com.iMe.android,Google Ads
254,com.iMe.android,Googlecode
255,com.iMe.android,Squareup
256,com.spot.spot,adjust
257,com.spot.spot,Facebook
258,com.spot.spot,Bumptech
259,com.spot.spot,Google Ads
260,com.hconline.iso,Fasterxml
261,com.hconline.iso,Github
262,com.hconline.iso,Facebook
263,com.hconline.iso,Bumptech
264,com.hconline.iso,Nostra13
265,com.hconline.iso,Kenai
266,com.hconline.iso,Weibo
267,com.hconline.iso,Umeng
268,com.hconline.iso,Tencent
269,im.status.ethereum,Facebook
270,im.status.ethereum,Adobe
271,network.celsius.wallet,Jakewharton
272,network.celsius.wallet,Mixpanel
273,network.celsius.wallet,Crashlytics
274,network.celsius.wallet,Facebook
275,network.celsius.wallet,Appsflyer
276,network.celsius.wallet,Adobe
277,network.celsius.wallet,Google Ads
